activity_description,activity_description_fixed,isic_code,isic_code_fixed,isic_code_ref,isic_code_len,isic_code_fixed_len,isic_description_nisr,isic_description_un,isic_description_final,isic_code_target
Gukora inzoga y'ibitoki,gukora inzoga y'ibitoki,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
"Gucuruza imboga (isombe) kuyisya,no kuyisekura","gucuruza imboga (isombe) kuyisya,no kuyisekura",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
"boutique idandaza, ibiribwa bitandukanye, inyanya ibishyimbo,ibirayi,nibindi bikoresho byisuku bitandukane","boutique idandaza, ibiribwa bitandukanye, inyanya ibishyimbo,ibirayi,nibindi bikoresho byisuku bitandukane",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Kudandaza ubuconco higanjemo ibyokurya,kudandaza ubuconco higanjemo ibyokurya,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
"ubucuruzi budandaza ibyo kurya, ni isuku","ubucuruzi budandaza ibyo kurya, ni isuku",4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUHINZI BW'IBIHINGWA BITANDUKANYE,ubuhinzi bw'ibihingwa bitandukanye,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
TOUR OPERATOIRS,tour operatoirs,7912,7912,7912,4,4,Tour operator activities,Tour operator activities,Tour operator activities,9999
KWENGA IMITOBE,kwenga imitobe,1102,1102,1102,4,4,Manufacture of wines,Manufacture of wines,Manufacture of wines,5555
ubucuruzi bw'ubuconco nimirasire n'ibindi bya electronics,ubucuruzi bw'ubuconco nimirasire n'ibindi bya electronics,4759,4759,4759,4,4,"Retail sale of electrical household appliances, furniture, lighting equipment andother household articles in specialized stores","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Retail sale of electrical household appliances, furniture, lighting equipment andother household articles in specialized stores",4759
"UMUHINZI BW INYANYA ,INTORYI,PUWAVRO","umuhinzi bw inyanya ,intoryi,puwavro",113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
UBUCURUZI BWIBYUMA BYIMODOKA,ubucuruzi bwibyuma byimodoka,4530,4530,4530,4,4,Sale of motor vehicle parts and accessories,Sale of motor vehicle parts and accessories,Sale of motor vehicle parts and accessories,4530
Kudandaza acuruza icyayi n' indazi,kudandaza acuruza icyayi n'indazi,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
UBUHINZI BW'IBIHINGWA BITANDUKANYE,ubuhinzi bw'ibihingwa bitandukanye,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
UBUHINZI BWIKAWA,ubuhinzi bwikawa,127,127,127,3,4,Growing of beverage crops,Growing of beverage crops,Growing of beverage crops,127
UBUHINZI BW'IMYUMBATI,ubuhinzi bw'imyumbati,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
UBUHINZI BWIBISHYIMBO,ubuhinzi bwibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
IMIRIMO YO MU RUGO,imirimo yo mu rugo,9700,9700,9700,4,4,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,9700
KUGABURA  IBYOKURYA,kugabura ibyokurya,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
KURANGUZA IBIRIBWA,kuranguza ibiribwa,4630,4630,4630,4,4,"Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco",4630
UBUHINZI BWURUTOKI,ubuhinzi bwurutoki,122,122,122,3,4,Growing of tropical and subtropical fruits,Growing of tropical and subtropical fruits,Growing of tropical and subtropical fruits,122
"Ni Butike idandaza ibiribwa byo kurya ( ibirayi ,ibitoki ,ubugari by'imyumbati )","ni butike idandaza ibiribwa byo kurya ( ibirayi ,ibitoki ,ubugari by'imyumbati )",4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
kogosha,kogosha,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
UBUTEGETSI BWITE BWA LETA,ubutegetsi bwite bwa leta,8411,8411,8411,4,4,General public administration activities,General public administration activities,General public administration activities,8411
ubucuruzi budandaza ibintu bitandukanye muri quiosque,ubucuruzi budandaza ibintu bitandukanye muri quiosque,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
ubucuruzi bw'amazi na Gaz,ubucuruzi bw'amazi na gaz,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUHINZI BW'IBITUNGURU,ubuhinzi bw'ibitunguru,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
UBUHINZI BWAMAZHYAMBA,ubuhinzi bwamazhyamba,210,210,210,3,4,Silviculture and other forestry activities,Silviculture and other forestry activities,Silviculture and other forestry activities,5555
ubucuruzi bwa Gaz,ubucuruzi bwa gaz,4773,4773,4773,4,4,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,4773
UBUHINZI BW'IBISHYIMBO,ubuhinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
ubucuruzi budandaza bwiganye ibiribwa,ubucuruzi budandaza bwiganye ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Kudandaza imyenda,kudandaza imyenda,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
Kudandaza imboga,kudandaza imboga,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
ubucuruzi bw'inzoga zipfundikiye,ubucuruzi bw'inzoga zipfundikiye,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
gukanika,gukanika,9512,9512,9512,4,4,Repair of communication equipment,Repair of communication equipment,Repair of communication equipment,9512
Kudandaza ibintu bitandukanye higanjemo icyayi,kudandaza ibintu bitandukanye higanjemo icyayi,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
"ubudozi bwinkweto ,(gusana inkweto zishaje)","ubudozi bwinkweto ,(gusana inkweto zishaje)",9523,9523,9523,4,4, Repair of footwear and leather goods,Repair of footwear and leather goods, Repair of footwear and leather goods,9523
GUCURUZA INZOGA,gucuruza inzoga,4722,4722,4722,4,4,Retail sale of beverages in specialized stores,Retail sale of beverages in specialized stores,Retail sale of beverages in specialized stores,4722
UBUHINZI BW'IBIJUMBA,ubuhinzi bw'ibijumba,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
BADANDAZA IBINYOBWA KU MBARAZA,badandaza ibinyobwa ku mbaraza,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBWUBATSI BWA MAZU,ubwubatsi bwa mazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
SERVICE ZA MOBILE MONEY,service za mobile money,6499,6499,6499,4,4,"Other financial service activities, except insurance and pension funding activities,n.e.c.","Other financial service activities, except insurance and pension funding activities, n.e.c.","Other financial service activities, except insurance and pension funding activities,n.e.c.",6499
IMIRIMO YO MU RUGO,imirimo yo mu rugo,9700,9700,9700,4,4,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,9700
KUDANDAZA IKIGAGE,kudandaza ikigage,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
UBUCURUZI BUDANDAZA MU IDUKA HIGANJEMO IBIRIBWA,ubucuruzi budandaza mu iduka higanjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Gukora umurimo w'Ivugabutumwa,gukora umurimo w'ivugabutumwa,9491,9491,9491,4,4,Activities of religious organizations,Activities of religious organizations,Activities of religious organizations,9491
UBUHINZI BW'IBIGORI,ubuhinzi bw'ibigori,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
UBUHINZI,ubuhinzi,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
UBUDANDAZI BWIGANJEMO IBIRIBWA,ubudandazi bwiganjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
gucuruza amainite,gucuruza amainite,4741,4741,4741,4,4,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores","Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores","Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4741
GUKODESHA IBYOMBO,gukodesha ibyombo,7729,7729,7729,4,4,Renting and leasing of other personal and household goods,Renting and leasing of other personal and household goods,Renting and leasing of other personal and household goods,9999
gupima ubushera,gupima ubushera,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
"ubucuruzi bwamandazi ,icyayi, imikati","ubucuruzi bwamandazi ,icyayi, imikati",5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
gucuruza ibiribwa,gucuruza ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUHINZI BW'IBIHINGWA BITANDUKANYE,ubuhinzi bw'ibihingwa bitandukanye,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
